-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
0.00, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
0.00, -0.02
0.00, -0.02
0.00, -0.02
0.00, -0.02
-0.01, -0.02
0.00, -0.02
0.00, -0.02
-0.01, -0.02
-0.01, -0.02
0.00, -0.02
0.00, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
-0.01, -0.02
0.00, -0.02
-0.01, -0.02
-0.01, -0.02
0.00, -0.02
-0.01, -0.02
-0.01, -0.02
0.00, -0.02
0.00, -0.02
0.00, -0.02
0.00, -0.01
0.00, -0.01
0.00, -0.01
0.00, -0.01
0.01, -0.01
0.00, -0.01
0.00, -0.01
0.01, -0.01
0.01, -0.01
0.00, -0.01
0.01, -0.01
0.01, -0.01
0.01, -0.01
0.01, -0.01
0.01, 0.00
0.01, -0.01
0.01, 0.00
0.01, 0.00
0.01, 0.00
0.01, 0.00
0.01, 0.00
0.01, 0.00
0.01, 0.00
0.01, 0.00
0.01, 0.00
0.01, 0.00
0.01, 0.00
0.01, 0.00
0.01, 0.00
0.02, 0.00
0.02, 0.00
0.01, 0.00
0.01, 0.00
0.01, 0.00
0.01, 0.00
0.02, 0.00
0.02, 0.00
0.02, 0.00
0.02, 0.00
0.02, 0.01
0.02, 0.01
0.02, 0.00
0.02, 0.01
0.02, 0.01
0.02, 0.01
0.02, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.04, 0.02
0.04, 0.02
0.04, 0.02
0.04, 0.02
0.04, 0.02
0.04, 0.03
0.04, 0.02
0.04, 0.02
0.04, 0.02
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.05, 0.03
0.04, 0.03
0.05, 0.03
0.05, 0.03
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.07, 0.05
0.07, 0.05
0.07, 0.05
0.07, 0.06
0.07, 0.05
0.07, 0.05
0.07, 0.06
0.07, 0.06
0.07, 0.05
0.08, 0.06
0.07, 0.06
0.07, 0.06
0.07, 0.06
0.07, 0.06
0.07, 0.06
0.07, 0.06
0.07, 0.06
0.07, 0.06
0.07, 0.06
0.08, 0.06
0.08, 0.06
0.08, 0.06
0.08, 0.06
0.07, 0.06
0.08, 0.06
0.08, 0.06
0.08, 0.06
0.08, 0.06
0.08, 0.06
0.08, 0.06
0.08, 0.06
0.08, 0.06
0.08, 0.06
0.08, 0.06
0.07, 0.06
0.07, 0.06
0.07, 0.06
0.07, 0.05
0.07, 0.06
0.07, 0.06
0.07, 0.05
0.07, 0.05
0.07, 0.05
0.07, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.07, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.04
0.06, 0.05
0.06, 0.05
0.06, 0.04
0.06, 0.04
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.05
0.06, 0.04
0.06, 0.05
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.05
0.06, 0.04
0.06, 0.05
0.06, 0.04
0.06, 0.04
0.06, 0.05
0.06, 0.05
0.06, 0.04
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.07, 0.05
0.07, 0.05
0.07, 0.05
0.07, 0.05
0.07, 0.05
0.06, 0.05
0.06, 0.05
0.07, 0.05
0.07, 0.06
0.07, 0.06
0.08, 0.06
0.08, 0.06
0.07, 0.06
0.07, 0.06
0.07, 0.06
0.07, 0.06
0.07, 0.06
0.08, 0.06
0.08, 0.06
0.08, 0.06
0.08, 0.06
0.08, 0.06
0.07, 0.06
0.07, 0.06
0.07, 0.06
0.08, 0.06
0.08, 0.07
0.08, 0.06
0.08, 0.06
0.08, 0.06
0.08, 0.06
0.08, 0.06
0.07, 0.06
0.07, 0.06
0.08, 0.06
0.08, 0.06
0.08, 0.06
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.06
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.06
0.08, 0.06
0.08, 0.06
0.08, 0.06
0.07, 0.06
0.08, 0.06
0.07, 0.06
0.07, 0.06
0.07, 0.06
0.07, 0.06
0.07, 0.06
0.07, 0.06
0.08, 0.06
0.08, 0.06
0.07, 0.06
0.07, 0.06
0.08, 0.06
0.08, 0.06
0.08, 0.06
0.08, 0.06
0.08, 0.06
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.09, 0.07
0.09, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.09, 0.07
0.08, 0.07
0.08, 0.07
0.09, 0.07
0.08, 0.07
0.08, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.08
0.09, 0.07
0.09, 0.08
0.09, 0.08
0.09, 0.07
0.09, 0.07
0.09, 0.08
0.09, 0.07
0.09, 0.08
0.09, 0.07
0.09, 0.08
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.06
0.08, 0.07
0.08, 0.06
0.08, 0.07
0.08, 0.06
0.08, 0.06
0.08, 0.06
0.07, 0.06
0.08, 0.06
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.09
0.09, 0.09
0.09, 0.08
0.09, 0.08
0.09, 0.09
0.09, 0.09
0.09, 0.09
0.10, 0.09
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.09
0.09, 0.09
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.07
0.09, 0.08
0.09, 0.08
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.08, 0.07
0.08, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.09, 0.07
0.08, 0.07
0.09, 0.07
0.09, 0.07
0.08, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.08
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.08
0.09, 0.08
0.09, 0.07
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.07
0.09, 0.07
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.08, 0.07
0.08, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.08, 0.07
0.08, 0.07
0.09, 0.07
0.09, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.08, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.08, 0.07
0.09, 0.07
0.08, 0.07
0.09, 0.07
0.08, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.08
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.08, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.08, 0.07
0.09, 0.07
0.08, 0.07
0.09, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.09, 0.07
0.08, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.08
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.09, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.07
0.08, 0.06
0.08, 0.06
0.08, 0.06
0.08, 0.06
0.08, 0.06
0.08, 0.06
0.08, 0.06
0.07, 0.06
0.07, 0.06
0.07, 0.06
0.07, 0.06
0.07, 0.06
0.07, 0.06
0.07, 0.06
0.07, 0.06
0.07, 0.06
0.07, 0.05
0.07, 0.05
0.07, 0.06
0.07, 0.05
0.07, 0.05
0.07, 0.05
0.07, 0.05
0.07, 0.05
0.07, 0.05
0.07, 0.05
0.07, 0.05
0.07, 0.05
0.07, 0.05
0.07, 0.05
0.06, 0.05
0.06, 0.05
0.07, 0.05
0.07, 0.05
0.07, 0.05
0.07, 0.05
0.07, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.04
0.06, 0.05
0.06, 0.04
0.06, 0.05
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.06, 0.04
0.05, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.05, 0.04
0.06, 0.04
0.06, 0.04
0.05, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.05, 0.04
0.05, 0.04
0.06, 0.04
0.05, 0.04
0.06, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.03
0.05, 0.04
0.05, 0.04
0.05, 0.03
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.03
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.06, 0.04
0.05, 0.03
0.05, 0.04
0.05, 0.03
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.06, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.05, 0.04
0.05, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.04
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.05, 0.04
0.05, 0.04
0.06, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.06, 0.04
0.06, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.03
0.05, 0.03
0.05, 0.04
0.05, 0.03
0.05, 0.03
0.05, 0.03
0.05, 0.03
0.05, 0.03
0.05, 0.03
0.05, 0.03
0.05, 0.03
0.05, 0.03
0.05, 0.03
0.05, 0.03
0.05, 0.03
0.05, 0.03
0.05, 0.03
0.05, 0.03
0.05, 0.03
0.05, 0.03
0.05, 0.03
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.05, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.05, 0.04
0.06, 0.04
0.05, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.05
0.06, 0.04
0.06, 0.04
0.06, 0.05
0.06, 0.04
0.06, 0.05
0.06, 0.04
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.05
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.06, 0.04
0.05, 0.04
0.05, 0.03
0.05, 0.03
0.05, 0.03
0.05, 0.03
0.05, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.02
0.03, 0.02
0.04, 0.02
0.04, 0.02
0.04, 0.02
0.04, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.04, 0.02
0.04, 0.02
0.04, 0.02
0.04, 0.02
0.04, 0.02
0.04, 0.02
0.04, 0.03
0.04, 0.02
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.03
0.04, 0.02
0.04, 0.02
0.04, 0.02
0.04, 0.02
0.03, 0.02
0.04, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.02, 0.01
0.02, 0.01
0.02, 0.01
0.02, 0.01
0.02, 0.01
0.02, 0.01
0.02, 0.01
0.02, 0.00
0.02, 0.00
0.02, 0.00
0.02, 0.00
0.02, 0.00
0.02, 0.00
0.02, 0.00
0.02, 0.00
0.02, 0.00
0.02, 0.00
0.02, 0.00
0.02, 0.00
0.02, 0.00
0.02, 0.00
0.02, 0.00
0.02, 0.01
0.02, 0.01
0.02, 0.01
0.02, 0.01
0.02, 0.01
0.02, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.02, 0.01
0.02, 0.01
0.02, 0.01
0.02, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.02, 0.01
0.02, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.01
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.04, 0.02
0.04, 0.02
0.04, 0.02
0.03, 0.02
0.03, 0.02
0.04, 0.02
0.04, 0.02
0.03, 0.02
0.03, 0.02
0.04, 0.02
0.04, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.04, 0.02
0.04, 0.02
0.03, 0.02
0.04, 0.02
0.03, 0.02
0.03, 0.02
0.04, 0.02
0.04, 0.02
0.04, 0.02
0.03, 0.02
0.04, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.03, 0.02
0.04, 0.02
0.04, 0.02
0.03, 0.02
0.03, 0.02
0.04, 0.02
0.03, 0.02
0.04, 0.02
